zip_code,city,county
29374,Pauline,Spartanburg
29376,Roebuck,Spartanburg
29379,Union,Union
29384,Waterloo,Laurens
29385,Wellford,Spartanburg
29388,Woodruff,Spartanburg
29401,Charleston,Charleston
29403,Charleston,Charleston
29404,Charleston AFB,Charleston
29405,North Charleston,Charleston
29406,Charleston,Charleston
29407,Charleston,Charleston
29410,Hanahan,Berkeley
29412,Charleston,Charleston
29414,Charleston,Charleston
29418,North Charleston,Charleston
29420,North Charleston,Dorchester
29426,Adams Run,Charleston
29429,Awendaw,Charleston
29431,Bonneau,Berkeley
29432,Branchville,Orangeburg
29434,Cordesville,Berkeley
29435,Cottageville,Colleton
29436,Cross,Berkeley
29437,Dorchester,Dorchester
29438,Edisto Island,Colleton
29440,Georgetown,Georgetown
29445,Goose Creek,Berkeley
29446,Green Pond,Colleton
29448,Harleyville,Dorchester
29449,Hollywood,Charleston
29450,Huger,Berkeley
29451,Isle Of Palms,Charleston
29453,Jamestown,Berkeley
29455,Johns Island,Charleston
29456,Ladson,Berkeley
29458,Mc Clellanville,Charleston
29461,Moncks Corner,Berkeley
29464,Mount Pleasant,Charleston
29466,Mount Pleasant,Charleston
29468,Pineville,Berkeley
29469,Pinopolis,Berkeley
29470,Ravenel,Charleston
29471,Reevesville,Dorchester
29472,Ridgeville,Dorchester
29474,Round O,Colleton
29475,Ruffin,Colleton
29477,Saint George,Dorchester
29479,Saint Stephen,Berkeley
29481,Smoaks,Colleton
29482,Sullivans Island,Charleston
29483,Summerville,Dorchester
29485,Summerville,Dorchester
29486,Summerville,Berkeley
29487,Wadmalaw Island,Charleston
29488,Walterboro,Colleton
29492,Charleston,Berkeley
29501,Florence,Florence
29505,Florence,Florence
29506,Florence,Florence
29510,Andrews,Georgetown
29511,Aynor,Horry
29512,Bennettsville,Marlboro
29516,Blenheim,Marlboro
29518,Cades,Williamsburg
29520,Cheraw,Chesterfield
29525,Clio,Marlboro
29526,Conway,Horry
29527,Conway,Horry
29530,Coward,Florence
29532,Darlington,Darlington
29536,Dillon,Dillon
29540,Darlington,Darlington
29541,Effingham,Florence
29543,Fork,Dillon
29544,Galivants Ferry,Horry
29545,Green Sea,Horry
29546,Gresham,Marion
29547,Hamer,Dillon
29550,Hartsville,Darlington
29554,Hemingway,Williamsburg
29555,Johnsonville,Florence
29556,Kingstree,Williamsburg
29560,Lake City,Florence
29563,Lake View,Dillon
29564,Lane,Williamsburg
29565,Latta,Dillon
29566,Little River,Horry
29567,Little Rock,Dillon
29568,Longs,Horry
29569,Loris,Horry
29570,Mc Coll,Marlboro
29571,Marion,Marion
29572,Myrtle Beach,Horry
29574,Mullins,Marion
29575,Myrtle Beach,Horry
29576,Murrells Inlet,Horry
29577,Myrtle Beach,Horry
29579,Myrtle Beach,Horry
29580,Nesmith,Williamsburg
29581,Nichols,Horry
29582,North Myrtle Beach,Horry
29583,Pamplico,Florence
29584,Patrick,Chesterfield
29585,Pawleys Island,Georgetown
29588,Myrtle Beach,Horry
29590,Salters,Williamsburg
29591,Scranton,Florence
29592,Sellers,Marion
29593,Society Hill,Darlington
29596,Wallace,Marlboro
29601,Greenville,Greenville
29605,Greenville,Greenville
29607,Greenville,Greenville
29609,Greenville,Greenville
29611,Greenville,Greenville
29615,Greenville,Greenville
29617,Greenville,Greenville
29620,Abbeville,Abbeville
29621,Anderson,Anderson
29624,Anderson,Anderson
29625,Anderson,Anderson
29626,Anderson,Anderson
29627,Belton,Anderson
29628,Calhoun Falls,Abbeville
29630,Central,Pickens
29631,Clemson,Pickens
29635,Cleveland,Greenville
29638,Donalds,Abbeville
29639,Due West,Abbeville
29640,Easley,Pickens
29642,Easley,Pickens
29643,Fair Play,Oconee
29644,Fountain Inn,Greenville
29645,Gray Court,Laurens
29646,Greenwood,Greenwood
29649,Greenwood,Greenwood
29650,Greer,Greenville
29651,Greer,Greenville
29653,Hodges,Greenwood
29654,Honea Path,Anderson
29655,Iva,Anderson
29657,Liberty,Pickens
29658,Long Creek,Oconee
29661,Marietta,Greenville
29662,Mauldin,Greenville
29664,Mountain Rest,Oconee
29666,Ninety Six,Greenwood
29667,Norris,Pickens
29669,Pelzer,Anderson
29670,Pendleton,Anderson
29671,Pickens,Pickens
29672,Seneca,Oconee
29673,Piedmont,Greenville
29676,Salem,Oconee
29678,Seneca,Oconee
29680,Simpsonville,Greenville
29681,Simpsonville,Greenville
29682,Six Mile,Pickens
29684,Starr,Anderson
29685,Sunset,Pickens
29686,Tamassee,Oconee
29687,Taylors,Greenville
29689,Townville,Anderson
29690,Travelers Rest,Greenville
29691,Walhalla,Oconee
29692,Ware Shoals,Greenwood
29693,Westminster,Oconee
29696,West Union,Oconee
29697,Williamston,Anderson
29702,Blacksburg,Cherokee
29704,Catawba,York
29706,Chester,Chester
29707,Fort Mill,Lancaster
29708,Fort Mill,York
29709,Chesterfield,Chesterfield
29710,Clover,York
29712,Edgemoor,Chester
29714,Fort Lawn,Chester
29715,Fort Mill,York
29717,Hickory Grove,York
29718,Jefferson,Chesterfield
29720,Lancaster,Lancaster
29726,Mc Connells,York
29727,Mount Croghan,Chesterfield
29728,Pageland,Chesterfield
29729,Richburg,Chester
29730,Rock Hill,York
29732,Rock Hill,York
29734,Rock Hill,York
29741,Ruby,Chesterfield
29742,Sharon,York
29743,Smyrna,York
29745,York,York
29801,Aiken,Aiken
29803,Aiken,Aiken
29805,Aiken,Aiken
29809,New Ellenton,Aiken
29810,Allendale,Allendale
29812,Barnwell,Barnwell
29817,Blackville,Barnwell
29819,Bradley,Greenwood
29821,Clarks Hill,Mccormick
29824,Edgefield,Edgefield
29827,Fairfax,Allendale
29828,Gloverville,Aiken
29829,Graniteville,Aiken
29831,Jackson,Aiken
29832,Johnston,Edgefield
29835,Mc Cormick,Mccormick
29836,Martin,Allendale
29838,Modoc,Mccormick
29840,Mount Carmel,Mccormick
29841,North Augusta,Aiken
29842,Beech Island,Aiken
29843,Olar,Bamberg
29845,Plum Branch,Mccormick
29847,Trenton,Edgefield
29848,Troy,Greenwood
29849,Ulmer,Allendale
29851,Warrenville,Aiken
29853,Williston,Barnwell
29856,Windsor,Aiken
29860,North Augusta,Edgefield
29902,Beaufort,Beaufort
29906,Beaufort,Beaufort
29907,Beaufort,Beaufort
29909,Okatie,Beaufort
29910,Bluffton,Beaufort
29911,Brunson,Hampton
29912,Coosawhatchie,Jasper
29915,Daufuskie Island,Beaufort
29916,Early Branch,Hampton
29918,Estill,Hampton
29920,Saint Helena Island,Beaufort
29922,Garnett,Hampton
29924,Hampton,Hampton
29926,Hilton Head Island,Beaufort
29927,Hardeeville,Jasper
29928,Hilton Head Island,Beaufort
29929,Islandton,Colleton
29932,Luray,Hampton
29934,Pineland,Jasper
29935,Port Royal,Beaufort
29936,Ridgeland,Jasper
29940,Seabrook,Beaufort
29941,Sheldon,Beaufort
29943,Tillman,Jasper
29944,Varnville,Hampton
29945,Yemassee,Hampton
